wo_num,item_name,ord_qty,release_sim,due_sim,start_sim,finish_sim,lead_time,tardy,tardiness
WO-06111,ITEM-02968,5,363.0,413.0,363.0,378.0802777777777,15.080277777777724,False,0.0
WO-06287,ITEM-02779,12,352.0,420.0,352.0,378.08045138888883,26.080451388888832,False,0.0
WO-02832,ITEM-00998,8,362.0,405.0,362.0,378.0873263888889,16.087326388888926,False,0.0
WO-00002,ITEM-00005,5,282.0,420.0,282.0,378.09739583333334,96.09739583333334,False,0.0
WO-05698,ITEM-01103,60,363.0,399.0,363.0,378.09739583333334,15.097395833333337,False,0.0
WO-00003,ITEM-00005,5,289.0,427.0,289.0,378.09739583333334,89.09739583333334,False,0.0
WO-06735,ITEM-02967,30,371.0,406.0,371.0,378.1145833333333,7.114583333333314,False,0.0
WO-00205,ITEM-00227,4,343.0,427.0,343.0,378.1289930555556,35.12899305555561,False,0.0
WO-07097,ITEM-00008,15,356.0,422.0,356.0,378.1289930555556,22.12899305555561,False,0.0
WO-05501,ITEM-00383,2,366.0,408.0,366.0,378.1289930555556,12.128993055555611,False,0.0
WO-04230,ITEM-00927,30,356.0,481.0,356.0,378.21944444444443,22.219444444444434,False,0.0
WO-05497,ITEM-01748,5,364.0,414.0,364.0,378.32031250000006,14.320312500000057,False,0.0
WO-05754,ITEM-01404,4,350.0,411.0,350.0,378.33055555555563,28.330555555555634,False,0.0
WO-05056,ITEM-02428,10,363.0,420.0,363.0,378.33420138888886,15.334201388888857,False,0.0
WO-07043,ITEM-00382,1,308.0,376.0,308.0,378.34479166666665,70.34479166666665,True,2.3447916666666515
WO-04143,ITEM-02480,44,366.0,408.0,366.0,378.35479166666664,12.354791666666642,False,0.0
WO-04917,ITEM-00566,60,357.0,446.0,357.0,378.36510416666664,21.36510416666664,False,0.0
WO-07265,ITEM-02349,10,363.0,420.0,363.0,378.36621527777777,15.36621527777777,False,0.0
WO-05406,ITEM-01403,1,351.0,412.0,351.0,378.39843750000006,27.398437500000057,False,0.0
WO-04550,ITEM-00807,30,362.0,412.0,362.0,378.4352430555556,16.43524305555559,False,0.0
WO-06193,ITEM-01403,4,355.0,414.0,355.0,378.44791666666674,23.447916666666742,False,0.0
WO-04052,ITEM-00039,1,321.0,387.0,321.0,378.4583333333333,57.458333333333314,False,0.0
WO-04311,ITEM-00039,1,323.0,391.0,323.0,378.4583333333333,55.458333333333314,False,0.0
WO-05691,ITEM-02530,8,344.0,405.0,344.0,378.4690972222222,34.46909722222222,False,0.0
WO-06415,ITEM-02129,10,363.0,406.0,363.0,378.50069444444443,15.500694444444434,False,0.0
WO-01332,ITEM-01273,5,366.0,409.0,366.0,378.53923611111105,12.539236111111052,False,0.0
WO-05481,ITEM-03284,6,364.0,443.0,364.0,378.56163194444434,14.561631944444343,False,0.0
WO-01490,ITEM-00378,12,356.0,443.0,356.0,378.5793402777779,22.579340277777874,False,0.0
WO-07003,ITEM-03284,10,364.0,443.0,364.0,378.620486111111,14.620486111111006,False,0.0
WO-01534,ITEM-00925,12,356.0,445.0,356.0,378.62118055555567,22.621180555555668,False,0.0
WO-05959,ITEM-01253,7,363.0,406.0,363.0,379.2501736111112,16.250173611111222,False,0.0
WO-05209,ITEM-00746,18,362.0,462.0,362.0,379.2978819444444,17.297881944444384,False,0.0
WO-05133,ITEM-02399,10,362.0,440.0,362.0,379.2978819444444,17.297881944444384,False,0.0
WO-04055,ITEM-00039,1,328.0,394.0,328.0,379.4182291666666,51.418229166666606,False,0.0
WO-04312,ITEM-00039,1,328.0,394.0,328.0,379.4288194444444,51.4288194444444,False,0.0
WO-06102,ITEM-03478,3,356.0,429.0,356.0,379.4430472222223,23.443047222222276,False,0.0
WO-06411,ITEM-01434,12,363.0,457.0,363.0,379.4646041666668,16.46460416666679,False,0.0
WO-06055,ITEM-01369,6,371.0,427.0,371.0,379.51197916666655,8.51197916666655,False,0.0
WO-04882,ITEM-02345,18,371.0,427.0,371.0,379.5746527777777,8.574652777777715,False,0.0
WO-03263,ITEM-02478,13,364.0,449.0,364.0,379.6168402777777,15.616840277777726,False,0.0
WO-05875,ITEM-02558,18,371.0,427.0,371.0,379.7027777777776,8.702777777777612,False,0.0
WO-05963,ITEM-00309,13,356.0,429.0,356.0,379.7961805555555,23.79618055555551,False,0.0
WO-02040,ITEM-00936,10,373.0,394.0,373.0,379.83715277777776,6.83715277777776,False,0.0
WO-05066,ITEM-00308,28,357.0,432.0,357.0,380.0090277777776,23.00902777777759,False,0.0
WO-05129,ITEM-01167,7,363.0,413.0,363.0,380.03125,17.03125,False,0.0
WO-06338,ITEM-02002,15,363.0,413.0,363.0,380.03125,17.03125,False,0.0
WO-05049,ITEM-02040,30,363.0,413.0,363.0,380.03125,17.03125,False,0.0
WO-06747,ITEM-00395,16,342.0,394.0,342.0,380.0625,38.0625,False,0.0
WO-04980,ITEM-00260,16,349.0,403.0,349.0,380.0625,31.0625,False,0.0
WO-06555,ITEM-03642,200,370.0,391.0,370.0,380.0628472222222,10.062847222222217,False,0.0
WO-04552,ITEM-00819,7,363.0,413.0,363.0,380.0729166666667,17.072916666666686,False,0.0
WO-05399,ITEM-00633,45,364.0,407.0,364.0,380.09375,16.09375,False,0.0
WO-04251,ITEM-01776,25,376.0,390.0,376.0,380.0939236111111,4.093923611111109,False,0.0
WO-06302,ITEM-01851,6,363.0,385.0,363.0,380.1251736111111,17.12517361111111,False,0.0
WO-06312,ITEM-01031,90,364.0,407.0,364.0,380.1354166666667,16.135416666666686,False,0.0
WO-04613,ITEM-00554,7,369.0,418.0,369.0,380.1666666666667,11.166666666666686,False,0.0
WO-06402,ITEM-00395,16,348.0,400.0,348.0,380.1723958333333,32.172395833333326,False,0.0
WO-04258,ITEM-00490,6,364.0,442.0,364.0,380.1723958333333,16.172395833333326,False,0.0
WO-05803,ITEM-02538,7,370.0,391.0,370.0,380.25486111111104,10.25486111111104,False,0.0
WO-06075,ITEM-00305,16,371.0,392.0,371.0,380.3911458333333,9.391145833333326,False,0.0
WO-04065,ITEM-02752,30,321.0,467.0,321.0,380.5628472222222,59.56284722222222,False,0.0
WO-07041,ITEM-03828,5,356.0,429.0,356.0,380.60659722222226,24.606597222222263,False,0.0
WO-04314,ITEM-00039,1,330.0,398.0,330.0,380.79163194444436,50.79163194444436,False,0.0
WO-05030,ITEM-03165,5,366.0,443.0,366.0,380.8539583333332,14.853958333333196,False,0.0
WO-04370,ITEM-00039,1,330.0,398.0,330.0,380.85413194444436,50.85413194444436,False,0.0
WO-06447,ITEM-02003,80,371.0,399.0,371.0,380.87309027777775,9.873090277777749,False,0.0
WO-04561,ITEM-01258,6,363.0,413.0,363.0,380.9126736111111,17.912673611111074,False,0.0
WO-06553,ITEM-01188,6,376.0,390.0,376.0,380.9133333333332,4.913333333333185,False,0.0
WO-01711,ITEM-00697,14,364.0,435.0,364.0,380.9279513888888,16.9279513888888,False,0.0
WO-05135,ITEM-00753,10,364.0,442.0,364.0,380.9279513888888,16.9279513888888,False,0.0
WO-04097,ITEM-01382,5,379.0,386.0,379.0,381.0626736111111,2.0626736111111086,False,0.0
WO-04259,ITEM-01232,16,371.0,385.0,371.0,381.2762152777777,10.27621527777768,False,0.0
WO-04625,ITEM-01009,5,357.0,425.0,357.0,381.4720486111112,24.472048611111177,False,0.0
WO-06832,ITEM-01010,2,351.0,412.0,351.0,381.4949305555553,30.4949305555553,False,0.0
WO-05643,ITEM-01010,12,351.0,412.0,351.0,381.7026041666663,30.702604166666276,False,0.0
WO-05008,ITEM-00371,14,372.0,386.0,372.0,382.153819444444,10.153819444444025,False,0.0
WO-04647,ITEM-01191,30,366.0,422.0,366.0,382.1666666666667,16.166666666666686,False,0.0
WO-05331,ITEM-03235,34,380.0,450.0,380.0,382.18125,2.1812499999999773,False,0.0
WO-06848,ITEM-00918,24,352.0,420.0,352.0,382.1878472222222,30.187847222222217,False,0.0
WO-07299,ITEM-02023,30,366.0,415.0,366.0,382.3549305555556,16.354930555555597,False,0.0
WO-05120,ITEM-01740,35,366.0,415.0,366.0,382.3757638888889,16.375763888888912,False,0.0
WO-06810,ITEM-03742,3,376.0,404.0,376.0,382.576006944444,6.576006944443975,False,0.0
WO-07090,ITEM-01934,12,376.0,404.0,376.0,382.72253472222206,6.722534722222065,False,0.0
WO-05855,ITEM-00332,20,356.0,415.0,356.0,383.0,27.0,False,0.0
WO-06016,ITEM-02155,20,370.0,391.0,370.0,383.0,13.0,False,0.0
WO-04654,ITEM-01161,50,376.0,404.0,376.0,383.0,7.0,False,0.0
WO-01840,ITEM-00068,30,336.0,404.0,336.0,383.0,47.0,False,0.0
WO-02506,ITEM-00167,2,373.0,408.0,373.0,383.0,10.0,False,0.0
WO-05524,ITEM-00009,1,370.0,412.0,370.0,383.0,13.0,False,0.0
WO-06713,ITEM-00009,1,370.0,412.0,370.0,383.0,13.0,False,0.0
WO-07297,ITEM-00611,10,373.0,415.0,373.0,383.0,10.0,False,0.0
WO-04003,ITEM-00492,1,321.0,387.0,321.0,385.0,64.0,False,0.0
WO-04001,ITEM-00492,1,314.0,380.0,314.0,385.0,71.0,True,5.0
WO-04074,ITEM-02636,1,338.0,406.0,338.0,385.0,47.0,False,0.0
