scenario,wc,year,util_pct_annual_avg
S1_Conservative,WC_BW,2027,197.7
S1_Conservative,WC_BW,2028,235.9
S1_Conservative,WC_CMM,2025,46.7
S1_Conservative,WC_CMM,2026,60.0
S1_Conservative,WC_CMM,2027,73.3
S1_Conservative,WC_CMM,2028,87.5
S1_Conservative,WC_CONV,2025,14.7
S1_Conservative,WC_CONV,2026,18.9
S1_Conservative,WC_CONV,2027,23.1
S1_Conservative,WC_CONV,2028,27.6
S1_Conservative,WC_LATHE,2025,49.9
S1_Conservative,WC_LATHE,2026,64.1
S1_Conservative,WC_LATHE,2027,78.4
S1_Conservative,WC_LATHE,2028,93.5
S1_Conservative,WC_MMILL,2025,77.7
S1_Conservative,WC_MMILL,2026,99.9
S1_Conservative,WC_MMILL,2027,122.0
S1_Conservative,WC_MMILL,2028,145.6
S1_Conservative,WC_QC,2025,22.5
S1_Conservative,WC_QC,2026,29.0
S1_Conservative,WC_QC,2027,35.4
S1_Conservative,WC_QC,2028,42.3
S1_Conservative,WC_3DP,2025,16.5
S1_Conservative,WC_3DP,2026,21.2
S1_Conservative,WC_3DP,2027,26.0
S1_Conservative,WC_3DP,2028,31.0
S1_Conservative,WC_SAW,2025,7.0
S1_Conservative,WC_SAW,2026,9.0
S1_Conservative,WC_SAW,2027,11.0
S1_Conservative,WC_SAW,2028,13.1
S1_Conservative,WC_REWORK,2025,0.3
S1_Conservative,WC_REWORK,2026,0.4
S1_Conservative,WC_REWORK,2027,0.5
S1_Conservative,WC_REWORK,2028,0.6
S2_Base_High,WC_AMILL,2025,35.2
S2_Base_High,WC_AMILL,2026,57.8
S2_Base_High,WC_AMILL,2027,95.6
S2_Base_High,WC_AMILL,2028,125.7
S2_Base_High,WC_AMILL_HS,2025,61.4
S2_Base_High,WC_AMILL_HS,2026,100.9
S2_Base_High,WC_AMILL_HS,2027,166.6
S2_Base_High,WC_AMILL_HS,2028,219.3
S2_Base_High,WC_BW,2025,125.8
S2_Base_High,WC_BW,2026,206.7
S2_Base_High,WC_BW,2027,341.5
S2_Base_High,WC_BW,2028,449.4
S2_Base_High,WC_CMM,2025,46.7
S2_Base_High,WC_CMM,2026,76.7
S2_Base_High,WC_CMM,2027,126.7
S2_Base_High,WC_CMM,2028,166.7
S2_Base_High,WC_CONV,2025,14.7
S2_Base_High,WC_CONV,2026,24.2
S2_Base_High,WC_CONV,2027,39.9
S2_Base_High,WC_CONV,2028,52.5
S2_Base_High,WC_LATHE,2025,49.9
S2_Base_High,WC_LATHE,2026,82.0
S2_Base_High,WC_LATHE,2027,135.4
S2_Base_High,WC_LATHE,2028,178.2
S2_Base_High,WC_MMILL,2025,77.7
S2_Base_High,WC_MMILL,2026,127.6
S2_Base_High,WC_MMILL,2027,210.8
S2_Base_High,WC_MMILL,2028,277.4
S2_Base_High,WC_QC,2025,22.5
S2_Base_High,WC_QC,2026,37.0
S2_Base_High,WC_QC,2027,61.2
S2_Base_High,WC_QC,2028,80.5
S2_Base_High,WC_3DP,2025,16.5
S2_Base_High,WC_3DP,2026,27.1
S2_Base_High,WC_3DP,2027,44.8
S2_Base_High,WC_3DP,2028,59.0
S2_Base_High,WC_SAW,2025,7.0
S2_Base_High,WC_SAW,2026,11.5
S2_Base_High,WC_SAW,2027,19.0
S2_Base_High,WC_SAW,2028,25.0
S2_Base_High,WC_REWORK,2025,0.3
S2_Base_High,WC_REWORK,2026,0.6
S2_Base_High,WC_REWORK,2027,0.9
S2_Base_High,WC_REWORK,2028,1.2
