wo_num,item_name,ord_qty,release_sim,due_sim,start_sim,finish_sim,lead_time,tardy,tardiness
WO-04923,ITEM-02519,6,286.0,328.0,286.0,302.62673611111086,16.62673611111086,False,0.0
WO-05539,ITEM-00979,10,289.0,331.0,289.0,302.78802083333306,13.788020833333064,False,0.0
WO-05515,ITEM-01023,12,281.0,330.0,281.0,303.03125,22.03125,False,0.0
WO-06933,ITEM-01168,20,287.0,336.0,287.0,303.03125,16.03125,False,0.0
WO-05946,ITEM-00511,12,282.0,331.0,282.0,303.03125,21.03125,False,0.0
WO-05905,ITEM-02846,9,294.0,294.0,294.0,303.03125,9.03125,True,9.03125
WO-05390,ITEM-03254,13,287.0,350.0,287.0,303.0625,16.0625,False,0.0
WO-04486,ITEM-00332,20,274.0,330.0,274.0,303.0625,29.0625,False,0.0
WO-04488,ITEM-00332,20,274.0,330.0,274.0,303.0625,29.0625,False,0.0
WO-02900,ITEM-00332,20,278.0,334.0,278.0,303.0625,25.0625,False,0.0
WO-02398,ITEM-01804,50,278.0,364.0,278.0,303.0626736111111,25.06267361111111,False,0.0
WO-03300,ITEM-01804,50,278.0,364.0,278.0,303.0626736111111,25.06267361111111,False,0.0
WO-05762,ITEM-00583,25,293.0,314.0,293.0,303.0626736111111,10.062673611111109,False,0.0
WO-05584,ITEM-00732,10,289.0,331.0,289.0,303.0628472222222,14.062847222222217,False,0.0
WO-04462,ITEM-00382,1,261.0,324.0,261.0,303.06493055555535,42.06493055555535,False,0.0
WO-06385,ITEM-03471,4,275.0,338.0,275.0,303.06822916666664,28.06822916666664,False,0.0
WO-05779,ITEM-02610,1,261.0,324.0,261.0,303.09375,42.09375,False,0.0
WO-05186,ITEM-01639,15,286.0,328.0,286.0,303.0939236111111,17.09392361111111,False,0.0
WO-05045,ITEM-02587,15,287.0,336.0,287.0,303.0984791666666,16.098479166666607,False,0.0
WO-06023,ITEM-00819,7,289.0,338.0,289.0,303.1355902777778,14.135590277777794,False,0.0
WO-04692,ITEM-00427,5,288.0,377.0,288.0,303.1565972222222,15.156597222222217,False,0.0
WO-04955,ITEM-01335,10,296.0,324.0,296.0,303.25828472222133,7.258284722221333,False,0.0
