sim_t,date,wc,util,msg
98.0,2025-04-09,WC_BW,97.5,ALERT: WC_BW 97.5% > 85.0%
224.0,2025-08-13,WC_BW,87.7,ALERT: WC_BW 87.7% > 85.0%
294.0,2025-10-22,WC_AMILL_HS,88.9,ALERT: WC_AMILL_HS 88.9% > 85.0%
